Leaf_Length_cm,Leaf_Width_cm,Leaf_Shape,Leaf_Color,Leaf_Edge,Leaf_Texture,Tree_Species
13.28,5.18,2,0,0,1,Oak
12.25,6.41,3,1,2,2,Oak
9.49,5.65,1,2,0,0,Oak
10.43,6.86,3,3,0,2,Oak
11.9,7.73,0,3,1,0,Oak
10.25,5.43,3,0,1,0,Oak
13.78,4.06,3,0,0,2,Oak
13.35,6.64,2,3,0,2,Oak
12.17,4.38,2,0,0,1,Oak
9.77,8.98,1,1,2,2,Oak
8.27,5.4,3,3,1,0,Oak
9.66,4.94,1,3,1,1,Oak
9.6,5.8,3,3,2,1,Oak
8.19,5.4,0,3,0,0,Oak
8.8,4.38,1,1,2,0,Oak
11.68,6.09,3,1,1,2,Oak
8.27,4.13,0,1,0,1,Oak
13.92,4.75,0,1,2,0,Oak
13.82,8.21,0,0,1,0,Oak
10.49,5.37,3,2,1,0,Oak
11.21,7.75,2,0,2,0,Oak
12.36,7.79,2,0,0,1,Oak
9.23,5.26,0,0,1,0,Oak
12.03,7.09,3,2,2,1,Oak
10.99,6.38,2,2,1,0,Oak
11.31,6.8,1,2,0,0,Oak
8.8,4.14,2,0,0,1,Oak
12.22,5.06,1,3,1,1,Oak
11.65,7.18,2,2,2,2,Oak
12.36,6.74,0,3,2,1,Oak
11.73,8.31,0,0,1,0,Oak
10.95,5.29,3,0,1,1,Oak
10.96,5.64,2,2,2,2,Oak
15.37,11.22,3,2,2,1,Banyan
16.98,9.26,3,3,0,2,Banyan
18.74,11.61,3,1,0,1,Banyan
12.24,13.75,1,3,1,0,Banyan
10.32,11.84,0,0,1,1,Banyan
13.64,11.52,0,2,0,1,Banyan
17.99,12.4,2,3,1,2,Banyan
19.21,8.43,1,3,0,0,Banyan
15.97,14.9,2,2,1,1,Banyan
16.18,10.58,3,1,0,1,Banyan
10.37,9.77,2,2,2,2,Banyan
15.12,11.72,0,1,1,1,Banyan
15.33,9.7,0,2,0,1,Banyan
15.64,13.88,1,1,1,0,Banyan
18.91,12.16,3,1,2,0,Banyan
14.98,8.61,2,1,1,2,Banyan
17.45,11.02,2,1,0,0,Banyan
13.63,12.52,1,2,2,0,Banyan
13.3,14.54,0,1,0,1,Banyan
13.65,11.41,1,2,1,1,Banyan
18.06,8.39,0,2,2,2,Banyan
10.18,12.88,3,2,1,1,Banyan
15.76,14.42,2,1,1,0,Banyan
14.91,13.06,1,0,1,2,Banyan
15.35,11.34,0,3,0,1,Banyan
19.68,12.98,3,0,0,2,Banyan
17.07,13.37,1,0,1,2,Banyan
19.32,10.24,2,0,1,1,Banyan
14.54,11.84,1,3,1,0,Banyan
16.85,8.62,2,0,0,0,Banyan
11.17,11.31,1,2,2,1,Banyan
11.07,13.96,3,3,1,1,Banyan
19.33,14.94,1,3,2,2,Banyan
19.26,13.05,3,3,0,2,Banyan
17.95,9.41,1,2,0,0,Banyan
18.15,12.66,1,1,0,0,Banyan
15.88,12.78,3,2,1,2,Banyan
16.24,11.78,2,2,0,0,Banyan
13.55,10.74,1,1,0,2,Banyan
15.43,11.02,2,2,2,1,Banyan
11.39,13.56,0,0,1,2,Banyan
15.73,14.98,0,0,0,0,Banyan
17.79,9,3,1,1,1,Banyan
14.94,13.28,1,1,0,2,Banyan
13.79,11.2,3,3,2,0,Banyan
